model,frame_id,fps,latency_ms,precision,recall,f1,mAP,avg_confidence,num_detections
YOLOv8,243,15.95,62.71,0.0,0.0,0.0,0.0,0.8166,2
YOLOv8,244,20.22,49.47,0.0,0.0,0.0,0.0,0.6386,3
YOLOv8,245,21.0,47.63,0.0,0.0,0.0,0.0,0.6482,3
YOLOv8,246,18.47,54.14,0.0,0.0,0.0,0.0,0.6731,3
YOLOv8,247,15.25,65.59,0.0,0.0,0.0,0.0,0.6395,3
YOLOv8,248,19.17,52.17,0.0,0.0,0.0,0.0,0.642,3
YOLOv8,249,20.76,48.17,0.0,0.0,0.0,0.0,0.6352,3
YOLOv8,250,20.8,48.08,0.0,0.0,0.0,0.0,0.6487,3
YOLOv8,251,20.11,49.74,0.0,0.0,0.0,0.0,0.6513,3
YOLOv8,252,18.38,54.41,0.0,0.0,0.0,0.0,0.5648,4
YOLOv8,253,20.62,48.51,0.0,0.0,0.0,0.0,0.6606,3
YOLOv8,254,18.74,53.35,0.0,0.0,0.0,0.0,0.7096,3
YOLOv8,255,25.27,39.57,0.0,0.0,0.0,0.0,0.6831,3
YOLOv8,256,20.42,48.97,0.0,0.0,0.0,0.0,0.7249,3
YOLOv8,257,23.33,42.86,0.0,0.0,0.0,0.0,0.688,3
YOLOv8,258,19.67,50.85,0.0,0.0,0.0,0.0,0.6921,3
YOLOv8,259,18.36,54.47,0.0,0.0,0.0,0.0,0.7159,3
YOLOv8,260,21.09,47.41,0.0,0.0,0.0,0.0,0.7218,3
YOLOv8,261,17.71,56.47,0.0,0.0,0.0,0.0,0.6055,4
YOLOv8,262,24.02,41.64,0.0,0.0,0.0,0.0,0.7296,3
YOLOv8,263,21.54,46.43,0.0,0.0,0.0,0.0,0.7405,3
YOLOv8,264,19.74,50.65,0.0,0.0,0.0,0.0,0.8095,3
YOLOv8,265,25.07,39.89,0.0,0.0,0.0,0.0,0.7518,3
YOLOv8,266,23.87,41.89,0.0,0.0,0.0,0.0,0.7456,3
YOLOv8,267,20.13,49.67,0.0,0.0,0.0,0.0,0.762,3
YOLOv8,268,19.86,50.35,0.0,0.0,0.0,0.0,0.7657,3
YOLOv8,269,17.11,58.45,0.0,0.0,0.0,0.0,0.7898,3
YOLOv8,270,20.03,49.94,0.0,0.0,0.0,0.0,0.8286,3
YOLOv8,271,18.14,55.14,0.0,0.0,0.0,0.0,0.8008,3
YOLOv8,272,20.59,48.57,0.0,0.0,0.0,0.0,0.8239,3
YOLOv8,273,19.05,52.48,0.0,0.0,0.0,0.0,0.8199,3
YOLOv8,274,20.13,49.68,0.0,0.0,0.0,0.0,0.8273,3
YOLOv8,275,18.11,55.23,0.0,0.0,0.0,0.0,0.8451,3
YOLOv8,276,16.58,60.32,0.0,0.0,0.0,0.0,0.8231,3
YOLOv8,277,15.81,63.26,0.0,0.0,0.0,0.0,0.8417,3
YOLOv8,278,18.42,54.3,0.0,0.0,0.0,0.0,0.843,3
YOLOv8,279,19.92,50.21,0.0,0.0,0.0,0.0,0.8269,3
YOLOv8,280,19.35,51.69,0.0,0.0,0.0,0.0,0.7624,3
YOLOv8,281,17.13,58.38,0.0,0.0,0.0,0.0,0.7697,2
YOLOv8,282,17.76,56.3,0.0,0.0,0.0,0.0,0.6894,2
YOLOv8,283,22.29,44.86,0.0,0.0,0.0,0.0,0.5249,3
YOLOv8,284,19.52,51.24,0.0,0.0,0.0,0.0,0.6457,2
YOLOv8,285,15.23,65.65,0.0,0.0,0.0,0.0,0.6002,3
YOLOv8,286,23.55,42.46,0.0,0.0,0.0,0.0,0.6273,3
YOLOv8,287,18.49,54.07,0.0,0.0,0.0,0.0,0.5907,4
YOLOv8,288,20.77,48.14,0.0,0.0,0.0,0.0,0.7214,2
YOLOv8,289,20.82,48.03,0.0,0.0,0.0,0.0,0.7913,2
YOLOv8,290,19.78,50.56,0.0,0.0,0.0,0.0,0.5961,2
YOLOv8,291,18.45,54.21,0.0,0.0,0.0,0.0,0.9403,1
YOLOv8,292,17.49,57.18,0.0,0.0,0.0,0.0,0.6338,2
YOLOv8,293,20.73,48.25,0.0,0.0,0.0,0.0,0.5903,2
YOLOv8,294,18.29,54.67,0.0,0.0,0.0,0.0,0.606,2
YOLOv8,295,17.23,58.05,0.0,0.0,0.0,0.0,0.7225,2
YOLOv8,296,20.74,48.22,0.0,0.0,0.0,0.0,0.5189,4
YOLOv8,297,18.6,53.75,0.0,0.0,0.0,0.0,0.7076,3
YOLOv8,298,19.64,50.91,0.0,0.0,0.0,0.0,0.6643,2
YOLOv8,299,18.48,54.12,0.0,0.0,0.0,0.0,0.5955,2
YOLOv8,300,18.39,54.37,0.0,0.0,0.0,0.0,0.926,1
YOLOv8,301,16.5,60.6,0.0,0.0,0.0,0.0,0.6474,2
YOLOv8,302,15.95,62.69,0.0,0.0,0.0,0.0,0.7942,2
YOLOv8,303,19.32,51.75,0.0,0.0,0.0,0.0,0.4224,5
YOLOv8,304,16.32,61.28,0.0,0.0,0.0,0.0,0.8099,2
YOLOv8,305,21.9,45.67,0.0,0.0,0.0,0.0,0.6845,3
YOLOv8,306,18.52,54.0,0.0,0.0,0.0,0.0,0.8382,2
YOLOv8,307,15.76,63.47,0.0,0.0,0.0,0.0,0.665,3
YOLOv8,308,18.33,54.55,0.0,0.0,0.0,0.0,0.6319,3
YOLOv8,309,15.74,63.53,0.0,0.0,0.0,0.0,0.7389,3
YOLOv8,310,18.96,52.75,0.0,0.0,0.0,0.0,0.8017,3
YOLOv8,311,18.85,53.06,0.0,0.0,0.0,0.0,0.7439,3
YOLOv8,312,16.8,59.51,0.0,0.0,0.0,0.0,0.6767,3
YOLOv8,313,19.68,50.8,0.0,0.0,0.0,0.0,0.7069,3
YOLOv8,314,19.35,51.68,0.0,0.0,0.0,0.0,0.858,2
YOLOv8,315,19.44,51.43,0.0,0.0,0.0,0.0,0.9044,2
YOLOv8,316,18.63,53.69,0.0,0.0,0.0,0.0,0.8816,2
YOLOv8,317,19.51,51.26,0.0,0.0,0.0,0.0,0.873,2
YOLOv8,318,19.94,50.15,0.0,0.0,0.0,0.0,0.8981,2
YOLOv8,319,20.92,47.8,0.0,0.0,0.0,0.0,0.6588,3
YOLOv8,320,19.75,50.64,0.0,0.0,0.0,0.0,0.8839,2
YOLOv8,321,20.17,49.58,0.0,0.0,0.0,0.0,0.7457,2
YOLOv8,322,23.46,42.63,0.0,0.0,0.0,0.0,0.7261,2
YOLOv8,323,17.82,56.13,0.0,0.0,0.0,0.0,0.722,2
YOLOv8,324,20.86,47.94,0.0,0.0,0.0,0.0,0.6713,2
YOLOv8,325,19.98,50.05,0.0,0.0,0.0,0.0,0.6571,2
YOLOv8,326,18.63,53.69,0.0,0.0,0.0,0.0,0.5199,3
YOLOv8,327,20.81,48.05,0.0,0.0,0.0,0.0,0.7517,2
YOLOv8,328,18.68,53.53,0.0,0.0,0.0,0.0,0.7958,2
YOLOv8,329,19.25,51.94,0.0,0.0,0.0,0.0,0.7356,2
YOLOv8,330,17.47,57.25,0.0,0.0,0.0,0.0,0.7659,2
YOLOv8,331,15.96,62.64,0.0,0.0,0.0,0.0,0.816,2
YOLOv8,332,19.69,50.78,0.0,0.0,0.0,0.0,0.6408,3
YOLOv8,333,21.42,46.68,0.0,0.0,0.0,0.0,0.8531,2
YOLOv8,334,20.91,47.83,0.0,0.0,0.0,0.0,0.6967,3
